,Link,Company,Location,Title,Date
0,https://seedfund.nsf.gov/awardees/history/details/?company=orbital-services-corporation-llc,ORBITAL SERVICES CORPORATION LLC,"MELROSE, MA",SBIR Phase I: Optimizing Safety and Fuel Efficiency in Autonomous Rendezvous and Proximity Operations (RPO) of Uncooperative Objects,01/30/2024
10,https://seedfund.nsf.gov/awardees/history/details/?company=resilitix-intelligence-llc,RESILITIX INTELLIGENCE LLC,"HOUSTON, TX",SBIR Phase I: CAS: DIGITAL TWIN FOR CLIMATE RESILIENCE ANALYTICS,01/17/2024
23,https://seedfund.nsf.gov/awardees/history/details/?company=mayfair-group-llc,MAYFAIR GROUP LLC,"NORFOLK, VA",SBIR Phase I: Intelligent Interactive Guidance System for Litigated Insurance Claims,01/09/2024
24,https://seedfund.nsf.gov/awardees/history/details/?company=sostos-llc,SOSTOS LLC,"MORGANTOWN, WV",SBIR Phase I: A web portal for artificial intelligence (AI)-based comprehensive discovery of repositioning drugs,01/09/2024
25,https://seedfund.nsf.gov/awardees/history/details/?company=stargazer-design-technologies-inc,STARGAZER DESIGN TECHNOLOGIES INC,"CHESTER, NH",SBIR Phase I: Designing the Future: Generative Configuration Design,01/09/2024
29,https://seedfund.nsf.gov/awardees/history/details/?company=cabrera-research-lab-llc,CABRERA RESEARCH LAB LLC,"ITHACA, NY",SBIR Phase I: Thinkquery: Empowering People to Thrive in a Complex World,01/08/2024
30,https://seedfund.nsf.gov/awardees/history/details/?company=illuminant-surgical-inc,"ILLUMINANT SURGICAL, INC.","PALO ALTO, CA",SBIR Phase I: Novel Camera-Projector Device Leveraging Markerless Skin Registration and Projected Augmented Reality Software to Enable Navigation for Minimally Invasive Procedures,01/08/2024
33,https://seedfund.nsf.gov/awardees/history/details/?company=tiami-llc,TIAMI LLC,"ELK GROVE, CA",SBIR Phase I: Intelligent Repeaters for Pervasive Millimeter-Wave Wireless Broadband Connectivity,01/08/2024
40,https://seedfund.nsf.gov/awardees/history/details/?company=nouvai-inc,NOUVAI INC.,"LOS ANGELES, CA",SBIR Phase I: A Mixed-Computation Neural Network Acceleration Stack for Edge Inference,12/14/2023
45,https://seedfund.nsf.gov/awardees/history/details/?company=weel-autonomy-inc,WEEL AUTONOMY INC.,"SEATTLE, WA","SBIR Phase I: Developing a safer electric bicycle through a pedal-by-wire drivetrain, balance assist, and artificial intelligence",12/08/2023
48,https://seedfund.nsf.gov/awardees/history/details/?company=crypto-tutors-llc,CRYPTO TUTORS LLC,"ORLANDO, FL",SBIR Phase I: Interest-Based Learning Management System to Ensure University Students are Qualified to Gain Web3 Careers,11/30/2023
53,https://seedfund.nsf.gov/awardees/history/details/?company=artimatic-technologies-inc,"ARTIMATIC TECHNOLOGIES, INC.","TUCKER, GA",SBIR Phase I: Artificial Intelligence for Automated Custom Avatar Creation,11/27/2023
56,https://seedfund.nsf.gov/awardees/history/details/?company=gforce-animation-inc,GFORCE ANIMATION INC,"SPRING, TX",STTR Phase I: Fire Ground VR,11/27/2023
77,https://seedfund.nsf.gov/awardees/history/details/?company=astrolabe-analytics-inc,"ASTROLABE ANALYTICS, INC.","SEATTLE, WA",SBIR Phase II: Forecasting Battery Health and Maintenance using Data-Driven Predictive Analytics,09/21/2023
79,https://seedfund.nsf.gov/awardees/history/details/?company=word-of-mouth-technologies-inc,WORD OF MOUTH TECHNOLOGIES INC.,"LAS VEGAS, NV",SBIR Phase I: A language learning app based on sound and mouth movements,09/21/2023
