,Link,Company,Location,Title,Date
0,https://seedfund.nsf.gov/awardees/history/details/?company=orbital-services-corporation-llc,ORBITAL SERVICES CORPORATION LLC,"MELROSE, MA",SBIR Phase I: Optimizing Safety and Fuel Efficiency in Autonomous Rendezvous and Proximity Operations (RPO) of Uncooperative Objects,01/30/2024
1,https://seedfund.nsf.gov/awardees/history/details/?company=kapalya-inc,Kapalya Inc,"BERKELEY, CA",SBIR Phase II: Advanced Ransomware Countermeasure,01/25/2024
2,https://seedfund.nsf.gov/awardees/history/details/?company=lunexus-space-llc,"LUNEXUS SPACE, LLC","DENVER, CO",SBIR Phase I: Silane Recycling from Decommissioned Photovoltaics using Microgravity-analog Fluidized Bed Reactor with Sonication.,01/25/2024
3,https://seedfund.nsf.gov/awardees/history/details/?company=mintangible-inc,"MINTANGIBLE, INC.","HENRICO, VA",SBIR Phase I: IP Programmable Rights Units On Blockchains,01/25/2024
4,https://seedfund.nsf.gov/awardees/history/details/?company=samara-aerospace-inc,"SAMARA AEROSPACE, INC.","SUPERIOR, CO",STTR Phase I: A Reliable and Efficient New Method for Satellite Attitude Control,01/25/2024
5,https://seedfund.nsf.gov/awardees/history/details/?company=agil-therapeutics-inc,"AGIL THERAPEUTICS, INC.","SAN FRANCISCO, CA",SBIR Phase I: Treatment of Type 2 Diabetes through Cryoablation of the Duodenum,01/23/2024
6,https://seedfund.nsf.gov/awardees/history/details/?company=biosens8-inc,"BIOSENS8, INC.","CAMBRIDGE, MA",SBIR Phase II: Novel progesterone biosensor for monitoring fertility health,01/17/2024
7,https://seedfund.nsf.gov/awardees/history/details/?company=grow-oyster-reefs-llc,"GROW OYSTER REEFS, LLC","CHARLOTTESVILLE, VA","SBIR Phase I: CAS: Biomimetic 3D Printed Metal Mold to Mass Produce Dry-Pressed, Modular, Biophilic Concrete Reef Substrate",01/17/2024
8,https://seedfund.nsf.gov/awardees/history/details/?company=hoofprint-biome-inc,"HOOFPRINT BIOME, INC.","RALEIGH, NC",SBIR Phase I: Bioengineering probiotic yeast to mitigate methane emissions from cattle,01/17/2024
9,https://seedfund.nsf.gov/awardees/history/details/?company=otoro-energy-inc,OTORO ENERGY INC,"BOULDER, CO",SBIR Phase I: Low Cost Metal Chelate Flow Battery for Long Duration Energy Storage,01/17/2024
10,https://seedfund.nsf.gov/awardees/history/details/?company=resilitix-intelligence-llc,RESILITIX INTELLIGENCE LLC,"HOUSTON, TX",SBIR Phase I: CAS: DIGITAL TWIN FOR CLIMATE RESILIENCE ANALYTICS,01/17/2024
11,https://seedfund.nsf.gov/awardees/history/details/?company=sangtera-inc,SANGTERA INC,"LEXINGTON, MA","STTR Phase I: Microhydraulic Actuator for High-Accuracy, High-Speed Position Stages",01/17/2024
12,https://seedfund.nsf.gov/awardees/history/details/?company=tacit-therapeutics-inc,"TACIT THERAPEUTICS, INC.","SOUTH SAN FRANCISCO, CA",SBIR Phase II: Repurposing RNA processing factors to edit RNA for the treatment of Dravet syndrome,01/17/2024
13,https://seedfund.nsf.gov/awardees/history/details/?company=trees-roi-llc,TREES ROI LLC,"HINESBURG, VT",SBIR Phase I: CAS: Tree Root Quality Inspection System with Noninvasive Evaluation,01/17/2024
14,https://seedfund.nsf.gov/awardees/history/details/?company=vuemen-inc,"VUEMEN, INC.","SEATTLE, WA",STTR Phase I: Innovating Micro-Light Emitting Diode (LED) Manufacturing with Novel Quantum Dot Micro-Patterning Technology,01/17/2024
15,https://seedfund.nsf.gov/awardees/history/details/?company=water-illumination-inc,WATER ILLUMINATION INC,"IRVINE, CA",SBIR Phase I: A Tunable Deep Ultraviolet (UV)-based Polyfluoroalkyl Substance (PFAS) Destruction Technology for Water Treatment,01/17/2024
16,https://seedfund.nsf.gov/awardees/history/details/?company=xheme-inc,XHEME INC.,"NEWTON CENTER, MA","STTR Phase I: A Completely Non-Toxic Blood Bag That Keeps Blood Healthier, Longer",01/17/2024
17,https://seedfund.nsf.gov/awardees/history/details/?company=medfree-inc,"MEDFREE, INC.","NEWARK, CA","SBIR Phase I: Novel Self-Closing, Transcatheter, Edge-to-Edge Repair Device to Percutaneously Treat Tricuspid Valve Regurgitation Using Jugular or Femoral Vein Access",01/11/2024
18,https://seedfund.nsf.gov/awardees/history/details/?company=allin-peppers-and-specialty-produce-llc,ALL-IN PEPPERS AND SPECIALTY PRODUCE LLC,"BURLINGTON, WI",SBIR Phase I: Developing an Indoor Method to Produce Morel Mushroom Fruiting Bodies,01/09/2024
19,https://seedfund.nsf.gov/awardees/history/details/?company=bactria-pharmaceuticals-llc,BACTRIA PHARMACEUTICALS LLC,"BOULDER, CO",SBIR Phase I: Combating Multi-Drug Resistant Gram-negative Healthcare-Associated Infections,01/09/2024
20,https://seedfund.nsf.gov/awardees/history/details/?company=carbide-radio-inc,CARBIDE RADIO INC,"SAN JOSE, CA",SBIR Phase I: Silicon Carbide Radio Frequency Switches,01/09/2024
21,https://seedfund.nsf.gov/awardees/history/details/?company=liebold-technologies-llc,LIEBOLD TECHNOLOGIES LLC,"MELBOURNE, FL",SBIR Phase I: High-Efficiency Liquid Desiccant Regenerator for Desiccant Enhanced Evaporative Air Conditioning,01/09/2024
22,https://seedfund.nsf.gov/awardees/history/details/?company=mantel-capture-inc,"MANTEL CAPTURE, INC.","CAMBRIDGE, MA",SBIR Phase I: Optimizing Composition of Novel Molten Alkali Metal Borates for Carbon Dioxide Capture,01/09/2024
23,https://seedfund.nsf.gov/awardees/history/details/?company=mayfair-group-llc,MAYFAIR GROUP LLC,"NORFOLK, VA",SBIR Phase I: Intelligent Interactive Guidance System for Litigated Insurance Claims,01/09/2024
24,https://seedfund.nsf.gov/awardees/history/details/?company=sostos-llc,SOSTOS LLC,"MORGANTOWN, WV",SBIR Phase I: A web portal for artificial intelligence (AI)-based comprehensive discovery of repositioning drugs,01/09/2024
25,https://seedfund.nsf.gov/awardees/history/details/?company=stargazer-design-technologies-inc,STARGAZER DESIGN TECHNOLOGIES INC,"CHESTER, NH",SBIR Phase I: Designing the Future: Generative Configuration Design,01/09/2024
26,https://seedfund.nsf.gov/awardees/history/details/?company=walia-rampyari,"WALIA, RAMPYARI","EL CAJON, CA",SBIR Phase I: Endogenously secreted bispecific natural killer cell engagers (BIKEs) for therapy of solid tumors,01/09/2024
27,https://seedfund.nsf.gov/awardees/history/details/?company=zepsor-technologies-inc,"ZEPSOR TECHNOLOGIES, INC.","BURLINGTON, MA",SBIR Phase I: Micro-Electromechanical Systems (MEMS)-Based Near-Zero Power Infrared Sensors for Proximity Detection,01/09/2024
28,https://seedfund.nsf.gov/awardees/history/details/?company=banyu-carbon-inc,BANYU CARBON INC,"SEATTLE, WA","SBIR Phase I: CAS: A light-based, energy-generating, carbon removal process",01/08/2024
29,https://seedfund.nsf.gov/awardees/history/details/?company=cabrera-research-lab-llc,CABRERA RESEARCH LAB LLC,"ITHACA, NY",SBIR Phase I: Thinkquery: Empowering People to Thrive in a Complex World,01/08/2024
30,https://seedfund.nsf.gov/awardees/history/details/?company=illuminant-surgical-inc,"ILLUMINANT SURGICAL, INC.","PALO ALTO, CA",SBIR Phase I: Novel Camera-Projector Device Leveraging Markerless Skin Registration and Projected Augmented Reality Software to Enable Navigation for Minimally Invasive Procedures,01/08/2024
