,Link,Company,Location,Title,Date
0,https://seedfund.nsf.gov/awardees/history/details/?company=orbital-services-corporation-llc,ORBITAL SERVICES CORPORATION LLC,"MELROSE, MA",SBIR Phase I: Optimizing Safety and Fuel Efficiency in Autonomous Rendezvous and Proximity Operations (RPO) of Uncooperative Objects,01/30/2024
1,https://seedfund.nsf.gov/awardees/history/details/?company=kapalya-inc,Kapalya Inc,"BERKELEY, CA",SBIR Phase II: Advanced Ransomware Countermeasure,01/25/2024
3,https://seedfund.nsf.gov/awardees/history/details/?company=mintangible-inc,"MINTANGIBLE, INC.","HENRICO, VA",SBIR Phase I: IP Programmable Rights Units On Blockchains,01/25/2024
4,https://seedfund.nsf.gov/awardees/history/details/?company=samara-aerospace-inc,"SAMARA AEROSPACE, INC.","SUPERIOR, CO",STTR Phase I: A Reliable and Efficient New Method for Satellite Attitude Control,01/25/2024
10,https://seedfund.nsf.gov/awardees/history/details/?company=resilitix-intelligence-llc,RESILITIX INTELLIGENCE LLC,"HOUSTON, TX",SBIR Phase I: CAS: DIGITAL TWIN FOR CLIMATE RESILIENCE ANALYTICS,01/17/2024
13,https://seedfund.nsf.gov/awardees/history/details/?company=trees-roi-llc,TREES ROI LLC,"HINESBURG, VT",SBIR Phase I: CAS: Tree Root Quality Inspection System with Noninvasive Evaluation,01/17/2024
14,https://seedfund.nsf.gov/awardees/history/details/?company=vuemen-inc,"VUEMEN, INC.","SEATTLE, WA",STTR Phase I: Innovating Micro-Light Emitting Diode (LED) Manufacturing with Novel Quantum Dot Micro-Patterning Technology,01/17/2024
20,https://seedfund.nsf.gov/awardees/history/details/?company=carbide-radio-inc,CARBIDE RADIO INC,"SAN JOSE, CA",SBIR Phase I: Silicon Carbide Radio Frequency Switches,01/09/2024
23,https://seedfund.nsf.gov/awardees/history/details/?company=mayfair-group-llc,MAYFAIR GROUP LLC,"NORFOLK, VA",SBIR Phase I: Intelligent Interactive Guidance System for Litigated Insurance Claims,01/09/2024
24,https://seedfund.nsf.gov/awardees/history/details/?company=sostos-llc,SOSTOS LLC,"MORGANTOWN, WV",SBIR Phase I: A web portal for artificial intelligence (AI)-based comprehensive discovery of repositioning drugs,01/09/2024
25,https://seedfund.nsf.gov/awardees/history/details/?company=stargazer-design-technologies-inc,STARGAZER DESIGN TECHNOLOGIES INC,"CHESTER, NH",SBIR Phase I: Designing the Future: Generative Configuration Design,01/09/2024
27,https://seedfund.nsf.gov/awardees/history/details/?company=zepsor-technologies-inc,"ZEPSOR TECHNOLOGIES, INC.","BURLINGTON, MA",SBIR Phase I: Micro-Electromechanical Systems (MEMS)-Based Near-Zero Power Infrared Sensors for Proximity Detection,01/09/2024
29,https://seedfund.nsf.gov/awardees/history/details/?company=cabrera-research-lab-llc,CABRERA RESEARCH LAB LLC,"ITHACA, NY",SBIR Phase I: Thinkquery: Empowering People to Thrive in a Complex World,01/08/2024
30,https://seedfund.nsf.gov/awardees/history/details/?company=illuminant-surgical-inc,"ILLUMINANT SURGICAL, INC.","PALO ALTO, CA",SBIR Phase I: Novel Camera-Projector Device Leveraging Markerless Skin Registration and Projected Augmented Reality Software to Enable Navigation for Minimally Invasive Procedures,01/08/2024
31,https://seedfund.nsf.gov/awardees/history/details/?company=imperium-technologies-inc,"IMPERIUM TECHNOLOGIES, INC.","CEDAR PARK, TX",SBIR Phase I: An Industrial Internet of Things (IIoT) Electromechanical Steam Trap for Greenhouse Gas Reduction and Energy Savings,01/08/2024
33,https://seedfund.nsf.gov/awardees/history/details/?company=tiami-llc,TIAMI LLC,"ELK GROVE, CA",SBIR Phase I: Intelligent Repeaters for Pervasive Millimeter-Wave Wireless Broadband Connectivity,01/08/2024
35,https://seedfund.nsf.gov/awardees/history/details/?company=objective-ed-inc,"OBJECTIVE ED, INC.","ROYAL PALM BEACH, FL",SBIR Phase II: Computer-based co-reading for students with reading disabilities,12/15/2023
36,https://seedfund.nsf.gov/awardees/history/details/?company=beamlink-inc,"BEAMLINK, INC.","PASADENA, CA",SBIR Phase II: Adaptable Ad Hoc Network Architecture for Rapid Infrastructure Development in Disaster Zones,12/14/2023
38,https://seedfund.nsf.gov/awardees/history/details/?company=crabline-robotics-llc,CRABLINE ROBOTICS LLC,"SHAKER HEIGHTS, OH",SBIR Phase I: Crab-like Robotic Platforms for Cutting Underwater Structures,12/14/2023
40,https://seedfund.nsf.gov/awardees/history/details/?company=nouvai-inc,NOUVAI INC.,"LOS ANGELES, CA",SBIR Phase I: A Mixed-Computation Neural Network Acceleration Stack for Edge Inference,12/14/2023
42,https://seedfund.nsf.gov/awardees/history/details/?company=maxwave-llc,MAXWAVE LLC,"WAUNAKEE, WI","SBIR Phase I: Long-Range, Millimeter-Wave, Wireless Power Beaming with Enhanced Efficiency",12/08/2023
43,https://seedfund.nsf.gov/awardees/history/details/?company=novineer-inc,"NOVINEER, INC.","DAYTONA BEACH, FL",SBIR Phase I: Computational Synthesis of 3D Printed Composite and Infill Layouts,12/08/2023
44,https://seedfund.nsf.gov/awardees/history/details/?company=oso-semiconductor-inc,OSO SEMICONDUCTOR INC.,"SAN BRUNO, CA","SBIR Phase I: Ultra-low loss beamformer and combiner-first technology for lower power, consumption phased arrays",12/08/2023
45,https://seedfund.nsf.gov/awardees/history/details/?company=weel-autonomy-inc,WEEL AUTONOMY INC.,"SEATTLE, WA","SBIR Phase I: Developing a safer electric bicycle through a pedal-by-wire drivetrain, balance assist, and artificial intelligence",12/08/2023
46,https://seedfund.nsf.gov/awardees/history/details/?company=wuigo-llc,"WUI-GO, LLC","LEWES, DE",SBIR Phase I: Testing computational feasibility and effectiveness of real time traffic nearcast for wildfire evacuation at the wildland urban interface,12/06/2023
47,https://seedfund.nsf.gov/awardees/history/details/?company=raven-space-systems-inc,"RAVEN SPACE SYSTEMS, INC.","KANSAS CITY, KS",SBIR Phase I: 3D Printing Reentry Capsules,12/05/2023
48,https://seedfund.nsf.gov/awardees/history/details/?company=crypto-tutors-llc,CRYPTO TUTORS LLC,"ORLANDO, FL",SBIR Phase I: Interest-Based Learning Management System to Ensure University Students are Qualified to Gain Web3 Careers,11/30/2023
51,https://seedfund.nsf.gov/awardees/history/details/?company=lifelab-studios-inc,"LIFELAB STUDIOS, INC.","SCOTTSDALE, AZ",SBIR Phase I: Using ChatGPT and Machine Learning to Power Positive Change among Justice Involved Youth,11/28/2023
52,https://seedfund.nsf.gov/awardees/history/details/?company=apogee-semiconductor-inc,"APOGEE SEMICONDUCTOR, INC.","PLANO, TX",SBIR Phase II: Low-Cost Packaging Solution for Space-Grade and High-Reliability Integrated Circuits,11/27/2023
53,https://seedfund.nsf.gov/awardees/history/details/?company=artimatic-technologies-inc,"ARTIMATIC TECHNOLOGIES, INC.","TUCKER, GA",SBIR Phase I: Artificial Intelligence for Automated Custom Avatar Creation,11/27/2023
56,https://seedfund.nsf.gov/awardees/history/details/?company=gforce-animation-inc,GFORCE ANIMATION INC,"SPRING, TX",STTR Phase I: Fire Ground VR,11/27/2023
57,https://seedfund.nsf.gov/awardees/history/details/?company=intellisafe-analytics-llc,INTELLISAFE ANALYTICS LLC,"MCDONALD, PA","SBIR Phase I: Comprehensive, Human-Centered, Safety System Using Physiological and Behavioral Sensing to Predict and Prevent Workplace Accidents",11/27/2023
