,Link,Company,Location,Title,Date
186,https://seedfund.nsf.gov/awardees/history/details/?company=salus-llc,"SALUS, LLC","CHARLOTTE, NC",SBIR Phase I: Digital Underwriting Platform for Underserved Borrowers,08/25/2023
187,https://seedfund.nsf.gov/awardees/history/details/?company=3fatesxray-inc,"3FATES-XRAY, INC.","SUNNYVALE, CA",SBIR Phase I: Single-shot X-ray Phase-contrast Imaging Using Deep Learning Approaches,08/23/2023
189,https://seedfund.nsf.gov/awardees/history/details/?company=linfinity-labs-inc,"L-Infinity Labs, Inc.","Framingham, MA",SBIR Phase I: Secure Image Recognition and Machine Learning Using Advanced Cryptography,08/23/2023
193,https://seedfund.nsf.gov/awardees/history/details/?company=skywalk-inc,SKYWALK INC.,"PALO ALTO, CA",SBIR Phase I: Overcoming interaction barriers in augmented reality via wearable multimodal sensing,08/22/2023
194,https://seedfund.nsf.gov/awardees/history/details/?company=brave-virtual-worlds-inc,"BRAVE VIRTUAL WORLDS, INC.","AUSTIN, TX",SBIR Phase I: Brave Virtual Worlds Human Movement Artificial Intelligence (AI) Engine and Biofeedback Loop,08/21/2023
195,https://seedfund.nsf.gov/awardees/history/details/?company=industrial-analytics-and-modeling-inc,"INDUSTRIAL ANALYTICS AND MODELING, INC.","AUSTIN, TX","SBIR Phase I: The Automated Forensic Economist: Towards Affordability, Transparency, and Efficiency in Forensic Economics",08/21/2023
196,https://seedfund.nsf.gov/awardees/history/details/?company=neurosomnicsllc,NEUROSOMNICSLLC,"LAS VEGAS, NV",SBIR Phase I: Non-invasive Closed Loop Neuromodulation to Treat Obstructive Sleep Apnea,08/21/2023
200,https://seedfund.nsf.gov/awardees/history/details/?company=initium-ai-inc,INITIUM AI INC.,"ANN ARBOR, MI",SBIR Phase II: AI for Enhanced Processing of Digital Conversations,08/18/2023
203,https://seedfund.nsf.gov/awardees/history/details/?company=silicon-assurance-llc,SILICON ASSURANCE LLC,"GAINESVILLE, FL",SBIR Phase II: A Software Platform for Assessment of Untrusted Electronics,08/18/2023
204,https://seedfund.nsf.gov/awardees/history/details/?company=iiam-corporation,IIAM CORPORATION,"BOSTON, MA",SBIR Phase I: Predictive Analytics and Machine Learning Modeling for New Patient Cancer Referrals,08/16/2023
206,https://seedfund.nsf.gov/awardees/history/details/?company=opal-htm-inc,OPAL HTM INC,"WHITE PLAINS, MD",STTR Phase I: Novel Medical Equipment Utilization Tracking System for Improved Patient Safety and Hospital Efficiency,08/16/2023
208,https://seedfund.nsf.gov/awardees/history/details/?company=mente-inc,"MENTE, INC.","BOSTON, MA",SBIR Phase II: Mentelist: Predictive Management of Surgical Instruments,08/14/2023
210,https://seedfund.nsf.gov/awardees/history/details/?company=ai-acuity,AI ACUITY,"STANFORD, CA",SBIR Phase I: Improved image compression targeting machine learning based detection algorithms,08/08/2023
211,https://seedfund.nsf.gov/awardees/history/details/?company=amie-health-inc,AMIE HEALTH INC.,"DOVER, DE",SBIR Phase I: Artificial Intelligence (AI) chatbot providing flare-up support for patients with endometriosis,08/08/2023
219,https://seedfund.nsf.gov/awardees/history/details/?company=heykiddo-llc,"HEYKIDDO, LLC","PHILADELPHIA, PA","SBIR Phase II: A Parent Coaching App to Help Support Children's Mental, Social and Emotional Health",08/04/2023
220,https://seedfund.nsf.gov/awardees/history/details/?company=prairielearn-inc,"PRAIRIELEARN, INC.","CHAMPAIGN, IL",SBIR Phase I: An online learning and assessment platform for sophisticated and secure exams,08/04/2023
221,https://seedfund.nsf.gov/awardees/history/details/?company=roplagarin-llc,ROPLAGARIN LLC,"RENO, NV",SBIR Phase I: Narrative interface technology to support two-way human-computer interaction for the disabled community,08/04/2023
222,https://seedfund.nsf.gov/awardees/history/details/?company=soilserdem-llc,SOILSERDEM LLC,"AMES, IA","SBIR Phase II: Creating high-quality, lower-cost soil maps using machine learning algorithms",08/03/2023
223,https://seedfund.nsf.gov/awardees/history/details/?company=vitidore-inc,"VITIDORE, INC.","SPOKANE, WA",SBIR Phase I: Development of a multi-output machine learning modeling framework for a hybridized perennial cover crop for specialty crop systems,08/03/2023
226,https://seedfund.nsf.gov/awardees/history/details/?company=abstractive-health-inc,"ABSTRACTIVE HEALTH, INC.","NEW YORK, NY",SBIR Phase I: A tool to automate a narrative patient summary of the medical chart for outpatient physicians,07/31/2023
234,https://seedfund.nsf.gov/awardees/history/details/?company=macula-vision-systems-inc,MACULA VISION SYSTEMS INC.,"TUCSON, AZ",SBIR Phase I: Automated Gram Stain Interpretation Via Digital Holographic Microscopy,07/25/2023
240,https://seedfund.nsf.gov/awardees/history/details/?company=shamrck-social-impact-corp,SHAMRCK SOCIAL IMPACT CORP,"AUGUSTA, GA","SBIR Phase I: Solving Minority Equity in Science, Technology, Engineering, and Mathematics (STEM) with Artificial Intelligence (AI)-Driven Workforce Development",07/25/2023
245,https://seedfund.nsf.gov/awardees/history/details/?company=cerflux-inc,"CERFLUX, INC.","BIRMINGHAM, AL",SBIR Phase I: Predictive ex vivo solid tumor biopsy-chip multiplexer for screening anticancer agents,07/21/2023
246,https://seedfund.nsf.gov/awardees/history/details/?company=farmsense-inc,FARMSENSE INC.,"RIVERSIDE, CA","SBIR Phase I: Automatic, Digital Classification and Counting of Mosquitos to Allow More Effective Vector Control",07/21/2023
253,https://seedfund.nsf.gov/awardees/history/details/?company=zqai-llc,ZQAI LLC,"CHICAGO, IL",STTR Phase I: Machine Learning-Based Smart Data Compression Solutions for Structural Health Monitoring Sensors,07/21/2023
254,https://seedfund.nsf.gov/awardees/history/details/?company=central-casting-ai-inc,CENTRAL CASTING AI INC,"METHUEN, MA",SBIR Phase I: Machine Learning Actors to Improve Connectedness across Remote Teams,07/17/2023
264,https://seedfund.nsf.gov/awardees/history/details/?company=revision-autonomy-inc,REVISION AUTONOMY INC,"KALAMAZOO, MI",SBIR Phase I: Scientific Discovery Translation of Snow-Covered Road Perception Software to a Lane Detection in Snow (LDIS) Product,07/17/2023
271,https://seedfund.nsf.gov/awardees/history/details/?company=windscapeai-llc,WINDSCAPEAI LLC,"BERKELEY, CA",SBIR Phase I: Proximate Wind Forecasts: A New Machine Learning Approach to Increasing Wind Energy Production,07/17/2023
272,https://seedfund.nsf.gov/awardees/history/details/?company=wurq-inc,"WURQ, INC.","SOMERVILLE, MA","SBIR Phase I: Artificial Intelligence (AI)-Powered, Wearable Technology to Monitor and Assess Strength Training Activities",07/17/2023
277,https://seedfund.nsf.gov/awardees/history/details/?company=otherwordly-llc,OTHERWORDLY LLC,"TAKOMA PARK, MD",SBIR Phase I: Automated Detection of Confounds and Inappropriate Context to Promote Prosocial Learning and Cognition,07/06/2023
